first name,last name,gender,City/Village/Town,District,State,aadhar,phone,crop
Rajesh,hiremath,male,bengalore,bengalore,karnataka,476474787989,7876477899,"1,3,apple,mango,nuts"
Arsha,ranade,male,chikkamangalore,chikkamangalore,karnataka,796587789654,9786588965,"2,tomato,radish"
Ranadhir,sharm,male,gadag,gadag,karnataka,789749789788,9886890806,"2,tomato,brinjal"
Ghambhir,shetty,male,kodagu,kodagu,karnataka,565788939399,8985988958,"2,tomato,brinjal"
Ganesh,karma,male,gadag,gadag,karnataka,789579745934,9098589505,"2,3,tomato,gram"
Anusha,kantar,female,uttarkannada,uttarkannada,karnataka,894794778489,9745454544,"4,corn,ragi,jowar"
Radhika,singe,female,udapi,udapi,karnataka,893797903080,7662388823,"2,3,radish,dal"
Raman,ankani,male,koppal,koppal,karnataka,767348934999,9959044459,"3,4,nuts,dal,wheat"
Ramya,sharm,female,bengalore,bengalore,karnataka,676287388378,9699096566,"1,2,3,mango,orange,tomato,dal"
Gangadhar,kohli,male,bagalakote,bagalakote,karnataka,874783889900,6888968906,"4,wheat,ragi"
Krishna,rathode,male,raichur,raichur,karnataka,587658676858,9905695690,"1,4,apple,wheat"
karna,karte,male,udapi,udapi,karnataka,648768763499,7889457979,"1,2,apple,tomato"
anita,choudary,female,ramanagar,ramanagar,karnataka,664687899999,8789893499,"2,tomato"
bharat,chouhan,male,gulbarga,gulbarga,karnataka,848884984888,7492399090,"1,4,apple,ragi"
